GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
queryEngine,com.stackroute.knowledgevault.queryEngine.controller,QueryController,10,3,0,0,3,1,1,1,1,1
queryEngine,com.stackroute.knowledgevault.queryEngine,QueryEngineApplication,5,3,0,0,2,1,1,1,1,1
queryEngine,com.stackroute.knowledgevault.queryEngine.config,KafkaConsumerConfig,0,88,0,0,0,19,0,5,0,5
queryEngine,com.stackroute.knowledgevault.queryEngine.service,QueryService,106,7,2,0,22,2,3,2,2,2
queryEngine,com.stackroute.knowledgevault.queryEngine.service,DriverInit,3,10,0,0,1,3,1,1,1,1
queryEngine,com.stackroute.knowledgevault.queryEngine.listener,KafkaConsumer,49,20,2,0,10,4,2,2,1,2
queryEngine,com.stackroute.knowledgevault.domain,OutputResult,139,0,22,0,6,0,22,0,11,0
queryEngine,com.stackroute.knowledgevault.domain,ProcessedInput,89,0,14,0,4,0,15,0,8,0
queryEngine,com.stackroute.knowledgevault.domain,OutputResult.OutputResultBuilder,38,0,0,0,1,0,5,0,5,0
queryEngine,com.stackroute.knowledgevault.domain,FrontEndData,8,0,0,0,2,0,2,0,2,0
